rp_uid,rp_event,rp_item,rp_problem,rp_section,rp_tryfix,rp_fixed,rp_source,rp_comment
1,29/03/2025,Sony Laptop,,Electrical,TRUE,FALSE,,
2,29/03/2025,Record Player,,Electrical,TRUE,FALSE,,
3,29/03/2025,Anniversary Clock,,Mechanical,TRUE,TRUE,,
4,29/03/2025,Jewellery Box,,Mechanical,TRUE,FALSE,,
5,29/03/2025,T-shirt,,Sewing,TRUE,TRUE,,
6,29/03/2025,Bag-fasterner,,Sewing,TRUE,TRUE,,
7,29/03/2025,Laptop,,Electrical,TRUE,FALSE,,
8,29/03/2025,Suitcase,,Mechanical,TRUE,FALSE,,
9,29/03/2025,Printer,,Computer,TRUE,FALSE,,
10,31/05/2025,Laptop,,Computer,TRUE,FALSE,,
11,31/05/2025,Pottery Lampshade,,General,TRUE,TRUE,,
12,31/05/2025,Coffee Machine,,Electrical,TRUE,TRUE,,
13,31/05/2025,DVD Player,,Electrical,TRUE,TRUE,,
14,31/05/2025,Table Lamp,,Electrical,TRUE,TRUE,,
15,31/05/2025,Camera,Error E9,Electrical,TRUE,FALSE,,
16,31/05/2025,Toaster,,Electrical,TRUE,FALSE,,
17,31/05/2025,Hoover,,Electrical,TRUE,FALSE,,
18,31/05/2025,2 x Garment,,Sewing,TRUE,TRUE,,
19,31/05/2025,Sewing machine,,Electrical,TRUE,FALSE,,
20,31/05/2025,Hedgecutters,,Electrical,TRUE,TRUE,,
21,31/05/2025,"Jacket, Short, Jumper",,Sewing,TRUE,TRUE,,
22,31/05/2025,Laptop Games,,Computer,TRUE,TRUE,,
23,31/05/2025,Clock,,General,TRUE,TRUE,,
24,31/05/2025,Laptop,,Electrical,TRUE,FALSE,,
25,31/05/2025,MP3 Player,,Computer,TRUE,FALSE,,
26,28/06/2025,Laptop,,Computer,TRUE,TRUE,,
27,28/06/2025,Sunglasses,,General,TRUE,TRUE,,
28,28/06/2025,Lamp,,Electrical,TRUE,TRUE,,
29,28/06/2025,Lamp,,Electrical,TRUE,FALSE,,
30,28/06/2025,Kettle,,Electrical,TRUE,TRUE,,
31,28/06/2025,Radio,,Electrical,TRUE,TRUE,,
32,02/08/2025,Hole Punch,,Mechanical,TRUE,TRUE,,
33,02/08/2025,Bra,,Sewing,TRUE,TRUE,,
34,02/08/2025,Pyjamas,,Sewing,TRUE,TRUE,,
35,02/08/2025,Cuckoo Clock,,Mechanical,TRUE,TRUE,,
36,02/08/2025,Laptop 1,,Computer,TRUE,TRUE,,
36,02/08/2025,Laptop 2,,Computer,TRUE,TRUE,,
37,02/08/2025,Radio,,Electrical,TRUE,FALSE,,
38,02/08/2025,Melodica,,Mechanical,TRUE,TRUE,,
39,02/08/2025,Diecast Machine,,Mechanical,TRUE,TRUE,,
40,02/08/2025,Compometer,,Mechanical,TRUE,TRUE,,
41,02/08/2025,Iron,,Electrical,TRUE,FALSE,,
42,30/08/2025,Companion Puppy toy,,Electrical,TRUE,TRUE,,
43,30/08/2025,Pocket Watch,,Mechanical,FALSE,FALSE,,Email when John available
44,30/08/2025,Lamp,,Electrical,TRUE,TRUE,,
45,30/08/2025,Motorbike cover,,Sewing,TRUE,TRUE,,
46,30/08/2025,Deep Fat Fryer,,Electrical,TRUE,FALSE,,
47,30/08/2025,Dress,,Sewing,TRUE,TRUE,,
48,30/08/2025,Necklace,,Sewing,TRUE,TRUE,,
49,30/08/2025,Clock,,Mechanical,FALSE,TRUE,,Return when John available
50,30/08/2025,Laptop,,Computer,TRUE,FALSE,,
51,30/08/2025,Video Player,,Electrical,TRUE,FALSE,,
52,30/08/2025,Clock,,Mechanical,TRUE,FALSE,,
53,30/08/2025,Brio trains,,Electrical,TRUE,TRUE,,RZ taken to fix
54,27/09/2025,Bag,,Sewing,TRUE,TRUE,,
55,27/09/2025,Hair dryer,,Electrical,TRUE,FALSE,,
56,27/09/2025,Winter coat,,Sewing,TRUE,TRUE,,
57,27/09/2025,Rucksack,Hole,Sewing,TRUE,TRUE,,
58,27/09/2025,Lawn mover,,Electrical,TRUE,FALSE,,
59,27/09/2025,Toaster,Smells and trips electrics,Electrical,TRUE,TRUE,,
60,27/09/2025,Radio,,Electrical,TRUE,FALSE,,
61,27/09/2025,Stereo turntable,,Electrical,TRUE,TRUE,,
62,27/09/2025,Water feature,,Electrical,TRUE,FALSE,,
63,27/09/2025,Clock,,Mechanical,TRUE,FALSE,,
64,27/09/2025,Bike,,Cycles,TRUE,TRUE,,
65,27/09/2025,Bugle,,Musical,TRUE,FALSE,,
66,27/09/2025,LED tree,,Electrical,FALSE,FALSE,,
67,27/09/2025,Glass leaves,,Mechanical,TRUE,TRUE,,
68,27/09/2025,Shorts,,Sewing,TRUE,TRUE,,
69,27/09/2025,Clothes,,Sewing,TRUE,TRUE,,
70,25/10/2025,Gtech vaccuum cleaner,,Electrical,TRUE,TRUE,,
71,25/10/2025,Jeans,,Sewing,TRUE,TRUE,,
72,25/10/2025,Bicycle,,Cycles,FALSE,FALSE,,
73,25/10/2025,Xmas lights,,Electrical,TRUE,TRUE,,
74,25/10/2025,Pencil sharperner,,Electrical,TRUE,FALSE,,
75,25/10/2025,Watch,,Mechanical,TRUE,TRUE,,
76,25/10/2025,Clock,Constant chiming,Mechanical,TRUE,TRUE,,
77,25/10/2025,Lamp base,,General,TRUE,TRUE,,
78,25/10/2025,Teapot,,General,TRUE,FALSE,,
79,25/10/2025,Printer,,Computer,TRUE,TRUE,,
80,25/10/2025,Radio,not tuning,Electrical,TRUE,TRUE,,
81,25/10/2025,Heater,,Electrical,TRUE,TRUE,,
82,25/10/2025,Computer,Won't boot,Computer,FALSE,FALSE,,RZ taken to fix
83,25/10/2025,Fleece jacket,,Sewing,TRUE,TRUE,,
84,25/10/2025,Money box,,Mechanical,TRUE,TRUE,,
85,25/10/2025,Table lamps & fittings,,General,TRUE,TRUE,,
86,25/10/2025,Fleece jacket,,Sewing,TRUE,TRUE,,
87,25/10/2025,Camera,Zoom not returning,Mechanical,TRUE,TRUE,,
88,29/11/2025,Printer,Paper stuck inside,Computer,TRUE,TRUE,,
89,29/11/2025,Lamp,Wire cut,Electrical,TRUE,TRUE,,
90,29/11/2025,Camera,Shutter stuck,Mechanical,TRUE,TRUE,,
91,29/11/2025,Hoover,Cable damaged,Electrical,TRUE,TRUE,,
92,29/11/2025,Wooden Stool,Come apart,General,TRUE,TRUE,,
93,29/11/2025,Steam cleaner,Tripping circuit,Electrical,TRUE,FALSE,,
94,29/11/2025,Jewelry box,Broken hinge,General,TRUE,TRUE,,
95,29/11/2025,Iron,Works intermittently,Electrical,TRUE,FALSE,,
96,29/11/2025,Brass lamp,Broken hinge,Electrical,TRUE,TRUE,,
97,29/11/2025,Brass lamp,Broken holder,Electrical,TRUE,FALSE,,
98,29/11/2025,Pasta maker,Jamming,Mechanical,TRUE,TRUE,,
99,29/11/2025,Electrical steamer,No steam,Electrical,TRUE,FALSE,,
100,29/11/2025,Electric tootbrush,Screw Loose,Electrical,TRUE,TRUE,,
101,29/11/2025,Toy Bug,Mech broken,Mechanical,FALSE,FALSE,,
102,29/11/2025,Trousers,Waist  loose,Sewing,TRUE,TRUE,,
103,29/11/2025,Trousers,Hem,Sewing,TRUE,TRUE,,
104,29/11/2025,Vaccum cleaner,Not running,Electrical,TRUE,TRUE,,
105,29/11/2025,Vacuum cleaner,Not working,Electrical,TRUE,TRUE,,
106,27/12/2025,Dress,Too baggy,Sewing,TRUE,TRUE,,
107,27/12/2025,Small pot disk,Broken,General,TRUE,TRUE,,
108,27/12/2025,Jersey sweatpants,Too long,Sewing,TRUE,TRUE,,
109,27/12/2025,Leather bag,Missing buckle,Sewing,FALSE,FALSE,,
110,27/12/2025,DVD Player,Won't open,Electrical,TRUE,TRUE,,
111,27/12/2025,Sewing machine,Doesn't sew straight,Electrical,TRUE,TRUE,,
112,27/12/2025,Wooden clock,Dismantled and untested,Mechanical,TRUE,TRUE,,
113,27/12/2025,Henry vacuum cleaner,Unknown fault,Electrical,FALSE,FALSE,,
114,31/01/2026,Lamp,Not switching ogg,Electrical,TRUE,FALSE,Northdale,
115,31/01/2026,Woollen Dress,Collar detaching,Sewing,TRUE,TRUE,Volunteer,
116,31/01/2026,Anki Cozmo,Needs new battery,Electrical,TRUE,TRUE,Facebook,
117,31/01/2026,Cardigans,Holes,Sewing,TRUE,TRUE,Volunteer,
118,31/01/2026,Fleece,Cuff detaching,Sewing,TRUE,TRUE,Volunteer,
119,31/01/2026,Set top box,No signal,Electrical,TRUE,FALSE,WoM,
120,31/01/2026,Secateurs,Not working,Mechanical,TRUE,TRUE,Facebook,
121,31/01/2026,Lamp,Dodgy connection,Electrical,TRUE,TRUE,Previous,
122,31/01/2026,Annivesary Clock,Stops after 15 mins,Mechanical,TRUE,TRUE,Previous,
123,31/01/2026,Sewing machine,Bobbin error,Mechanical,TRUE,TRUE,Church,
124,31/01/2026,Sewing machine,Foot pdeal not working,Electrical,TRUE,FALSE,WoM,
125,31/01/2026,Keyboard,Speakers not working,Electrical,TRUE,FALSE,WoM,
126,31/01/2026,Hair Dryer,Cuts out,Electrical,TRUE,TRUE,Online,
127,31/01/2026,Extension cable,Stopped working,Electrical,TRUE,TRUE,Newspaper,
128,31/01/2026,Electric saw,TLC required,Electrical,TRUE,TRUE,Newspaper,
129,31/01/2026,Seiko watch,Second hand detached,Mechanical,TRUE,FALSE,WoM,
130,31/01/2026,TV,Aerial port detached,Electrical,TRUE,TRUE,Facebook,
131,31/01/2026,Secateurs,Clena & overhal needed,Mechanical,TRUE,TRUE,Poster,
132,31/01/2026,Hat,Holes,Sewing,TRUE,TRUE,Rotary,
133,31/01/2026,Laptop,,Computer,TRUE,TRUE,,
134,31/01/2026,Steam Iron,Not steaming,Electrical,TRUE,FALSE,Facebook,
135,31/01/2026,Boot,Straps detached,Sewing,TRUE,TRUE,Northdale,
136,28/02/2026,Toaster,Not staying down,Electrical,TRUE,TRUE,Northdale,
137,28/02/2026,T-shirt,Sew badge on,Sewing,TRUE,TRUE,Facebook,
138,28/02/2026,Hairdryer,Not blowing,Electrical,TRUE,FALSE,Facebook,
139,28/02/2026,Sewing machine,Pedal pin missing,Mechanical,TRUE,TRUE,Facebook,
140,28/02/2026,Mug,Broken handle,General,TRUE,TRUE,Previous,
141,28/02/2026,Vax carpet cleaner,Not working,Electrical,TRUE,TRUE,WoM,
142,28/02/2026,Lamp,Broken fitting,Electrical,TRUE,TRUE,WoM,
